Date,City,Country,% Change In Waze Driven Miles/KMs
"Nov 3, 2021",Sao Paulo,Brazil,-0.06
"Nov 3, 2021",Paris,France,0.06
"Nov 3, 2021",London,United Kingdom,0.06
"Nov 3, 2021",New York,United States,0.07
"Nov 3, 2021",Prague,Czechia,0.3
"Nov 2, 2021",San Francisco,United States,-0.42
"Nov 2, 2021",Sao Paulo,Brazil,-0.11
"Nov 2, 2021",New York,United States,0
"Nov 2, 2021",London,United Kingdom,0.01
"Nov 2, 2021",Paris,France,0.04
"Nov 2, 2021",Prague,Czechia,0.26
"Nov 1, 2021",San Francisco,United States,-0.36
"Nov 1, 2021",Sao Paulo,Brazil,-0.02
"Nov 1, 2021",London,United Kingdom,0.08
"Nov 1, 2021",New York,United States,0.12
"Nov 1, 2021",Paris,France,0.3
"Nov 1, 2021",Prague,Czechia,0.34
"Oct 31, 2021",San Francisco,United States,-0.5
"Oct 31, 2021",Paris,France,-0.12
"Oct 31, 2021",Sao Paulo,Brazil,-0.03
"Oct 31, 2021",New York,United States,0.08
"Oct 31, 2021",London,United Kingdom,0.11
"Oct 31, 2021",Prague,Czechia,0.9
"Oct 30, 2021",San Francisco,United States,-0.25
"Oct 30, 2021",Paris,France,-0.05
"Oct 30, 2021",Sao Paulo,Brazil,-0.02
"Oct 30, 2021",New York,United States,0.02
"Oct 30, 2021",London,United Kingdom,0.15
"Oct 30, 2021",Prague,Czechia,0.25
"Oct 29, 2021",San Francisco,United States,-0.26
"Oct 29, 2021",Sao Paulo,Brazil,-0.1
"Oct 29, 2021",Paris,France,0
"Oct 29, 2021",Prague,Czechia,0.03
"Oct 29, 2021",New York,United States,0.09
"Oct 29, 2021",London,United Kingdom,0.1
"Oct 28, 2021",San Francisco,United States,-0.27
"Oct 28, 2021",Prague,Czechia,-0.26
"Oct 28, 2021",Sao Paulo,Brazil,-0.1
"Oct 28, 2021",Paris,France,0.05
"Oct 28, 2021",London,United Kingdom,0.1
"Oct 28, 2021",New York,United States,0.11
"Oct 27, 2021",San Francisco,United States,-0.28
"Oct 27, 2021",Sao Paulo,Brazil,-0.12
"Oct 27, 2021",Paris,France,0.03
"Oct 27, 2021",New York,United States,0.07
"Oct 27, 2021",London,United Kingdom,0.09
"Oct 27, 2021",Prague,Czechia,0.28
"Oct 26, 2021",San Francisco,United States,-0.42
"Oct 26, 2021",New York,United States,-0.05
"Oct 26, 2021",Sao Paulo,Brazil,-0.03
"Oct 26, 2021",Paris,France,0
"Oct 26, 2021",London,United Kingdom,0.07
"Oct 26, 2021",Prague,Czechia,0.33
"Oct 25, 2021",San Francisco,United States,-0.41
"Oct 25, 2021",Paris,France,0.02
"Oct 25, 2021",Sao Paulo,Brazil,0.04
"Oct 25, 2021",London,United Kingdom,0.06
"Oct 25, 2021",New York,United States,0.15
"Oct 25, 2021",Prague,Czechia,0.29
"Oct 24, 2021",San Francisco,United States,-0.36
"Oct 24, 2021",Paris,France,-0.05
"Oct 24, 2021",London,United Kingdom,0.03
"Oct 24, 2021",Sao Paulo,Brazil,0.07
"Oct 24, 2021",New York,United States,0.11
"Oct 24, 2021",Prague,Czechia,0.35
"Oct 23, 2021",San Francisco,United States,-0.36
"Oct 23, 2021",Paris,France,-0.09
"Oct 23, 2021",New York,United States,0.02
"Oct 23, 2021",Sao Paulo,Brazil,0.03
"Oct 23, 2021",London,United Kingdom,0.07
"Oct 23, 2021",Prague,Czechia,0.22
"Oct 22, 2021",San Francisco,United States,-0.38
"Oct 22, 2021",Sao Paulo,Brazil,-0.1
"Oct 22, 2021",Paris,France,-0.03
"Oct 22, 2021",New York,United States,0.05
"Oct 22, 2021",London,United Kingdom,0.07
"Oct 22, 2021",Prague,Czechia,0.27
"Oct 21, 2021",San Francisco,United States,-0.22
"Oct 21, 2021",Sao Paulo,Brazil,-0.12
"Oct 21, 2021",Paris,France,0.05
"Oct 21, 2021",London,United Kingdom,0.07
"Oct 21, 2021",New York,United States,0.08
"Oct 21, 2021",Prague,Czechia,0.37
"Oct 20, 2021",San Francisco,United States,-0.35
"Oct 20, 2021",Sao Paulo,Brazil,-0.13
"Oct 20, 2021",Paris,France,0.05
"Oct 20, 2021",New York,United States,0.08
"Oct 20, 2021",London,United Kingdom,0.08
"Oct 20, 2021",Prague,Czechia,0.33
"Oct 19, 2021",San Francisco,United States,-0.47
"Oct 19, 2021",Sao Paulo,Brazil,-0.05
"Oct 19, 2021",Paris,France,0.02
"Oct 19, 2021",New York,United States,0.05
"Oct 19, 2021",London,United Kingdom,0.05
"Oct 19, 2021",Prague,Czechia,0.34
"Oct 18, 2021",San Francisco,United States,-0.35
"Oct 18, 2021",Paris,France,0.01
"Oct 18, 2021",London,United Kingdom,0.04
"Oct 18, 2021",Sao Paulo,Brazil,0.06
"Oct 18, 2021",New York,United States,0.16
"Oct 18, 2021",Prague,Czechia,0.38
"Oct 17, 2021",San Francisco,United States,-0.26
"Oct 17, 2021",Paris,France,-0.02
"Oct 17, 2021",London,United Kingdom,0.05
"Oct 17, 2021",Sao Paulo,Brazil,0.05
"Oct 17, 2021",New York,United States,0.08
"Oct 17, 2021",Prague,Czechia,0.36
"Oct 16, 2021",San Francisco,United States,-0.14
"Oct 16, 2021",Paris,France,-0.06
"Oct 16, 2021",Sao Paulo,Brazil,-0.01
"Oct 16, 2021",New York,United States,0.07
"Oct 16, 2021",London,United Kingdom,0.08
"Oct 16, 2021",Prague,Czechia,0.27
"Oct 15, 2021",San Francisco,United States,-0.33
"Oct 15, 2021",Sao Paulo,Brazil,-0.11
"Oct 15, 2021",Paris,France,0.01
"Oct 15, 2021",London,United Kingdom,0.06
"Oct 15, 2021",New York,United States,0.07
"Oct 15, 2021",Prague,Czechia,0.32
"Oct 14, 2021",San Francisco,United States,-0.39
"Oct 14, 2021",Sao Paulo,Brazil,-0.12
"Oct 14, 2021",Paris,France,0.05
"Oct 14, 2021",New York,United States,0.07
"Oct 14, 2021",London,United Kingdom,0.08
"Oct 14, 2021",Prague,Czechia,0.37
"Oct 13, 2021",San Francisco,United States,-0.38
"Oct 13, 2021",Sao Paulo,Brazil,-0.03
"Oct 13, 2021",Paris,France,0.04
"Oct 13, 2021",London,United Kingdom,0.08
"Oct 13, 2021",New York,United States,0.11
"Oct 13, 2021",Prague,Czechia,0.36
"Oct 12, 2021",San Francisco,United States,-0.41
"Oct 12, 2021",Sao Paulo,Brazil,-0.09
"Oct 12, 2021",Paris,France,0
"Oct 12, 2021",London,United Kingdom,0.05
"Oct 12, 2021",New York,United States,0.15
"Oct 12, 2021",Prague,Czechia,0.37
"Oct 11, 2021",San Francisco,United States,-0.32
"Oct 11, 2021",Sao Paulo,Brazil,-0.04
"Oct 11, 2021",London,United Kingdom,0.02
"Oct 11, 2021",Paris,France,0.04
"Oct 11, 2021",New York,United States,0.05
"Oct 11, 2021",Prague,Czechia,0.36
"Oct 10, 2021",San Francisco,United States,-0.2
"Oct 10, 2021",Sao Paulo,Brazil,-0.13
"Oct 10, 2021",Paris,France,0.02
"Oct 10, 2021",New York,United States,0.05
"Oct 10, 2021",London,United Kingdom,0.06
"Oct 10, 2021",Prague,Czechia,0.51
"Oct 9, 2021",San Francisco,United States,-0.19
"Oct 9, 2021",Paris,France,-0.06
"Oct 9, 2021",Sao Paulo,Brazil,-0.04
"Oct 9, 2021",New York,United States,0.06
"Oct 9, 2021",London,United Kingdom,0.08
"Oct 9, 2021",Prague,Czechia,0.23
"Oct 8, 2021",San Francisco,United States,-0.3
"Oct 8, 2021",Sao Paulo,Brazil,-0.08
"Oct 8, 2021",Paris,France,-0.01
"Oct 8, 2021",London,United Kingdom,0.06
"Oct 8, 2021",New York,United States,0.09
"Oct 8, 2021",Prague,Czechia,0.44
"Oct 7, 2021",San Francisco,United States,-0.31
"Oct 7, 2021",Sao Paulo,Brazil,-0.09
"Oct 7, 2021",Paris,France,0.04
"Oct 7, 2021",London,United Kingdom,0.04
"Oct 7, 2021",New York,United States,0.09
"Oct 7, 2021",Prague,Czechia,0.25
"Oct 6, 2021",San Francisco,United States,-0.39
"Oct 6, 2021",Sao Paulo,Brazil,-0.13
"Oct 6, 2021",London,United Kingdom,0.03
"Oct 6, 2021",Paris,France,0.04
"Oct 6, 2021",New York,United States,0.08
"Oct 6, 2021",Prague,Czechia,0.33
"Oct 5, 2021",San Francisco,United States,-0.45
"Oct 5, 2021",Sao Paulo,Brazil,-0.07
"Oct 5, 2021",Paris,France,0.02
"Oct 5, 2021",London,United Kingdom,0.02
"Oct 5, 2021",New York,United States,0.03
"Oct 5, 2021",Prague,Czechia,0.26
"Oct 4, 2021",San Francisco,United States,-0.33
"Oct 4, 2021",London,United Kingdom,-0.03
"Oct 4, 2021",Paris,France,0
"Oct 4, 2021",Sao Paulo,Brazil,0.01
"Oct 4, 2021",New York,United States,0.1
"Oct 4, 2021",Prague,Czechia,0.23
"Oct 3, 2021",San Francisco,United States,-0.31
"Oct 3, 2021",London,United Kingdom,-0.07
"Oct 3, 2021",Paris,France,-0.05
"Oct 3, 2021",Sao Paulo,Brazil,0.01
"Oct 3, 2021",New York,United States,0.07
"Oct 3, 2021",Prague,Czechia,0.47
"Oct 2, 2021",San Francisco,United States,-0.25
"Oct 2, 2021",Paris,France,-0.07
"Oct 2, 2021",Sao Paulo,Brazil,-0.02
"Oct 2, 2021",New York,United States,0.02
"Oct 2, 2021",London,United Kingdom,0.02
"Oct 2, 2021",Prague,Czechia,0.15
"Oct 1, 2021",San Francisco,United States,-0.35
"Oct 1, 2021",Sao Paulo,Brazil,-0.12
"Oct 1, 2021",Paris,France,-0.03
"Oct 1, 2021",London,United Kingdom,0.02
"Oct 1, 2021",New York,United States,0.06
"Oct 1, 2021",Prague,Czechia,0.26
"Sep 30, 2021",San Francisco,United States,-0.32
"Sep 30, 2021",Sao Paulo,Brazil,-0.14
"Sep 30, 2021",London,United Kingdom,0.04
"Sep 30, 2021",Paris,France,0.05
"Sep 30, 2021",New York,United States,0.09
"Sep 30, 2021",Prague,Czechia,0.33
"Sep 29, 2021",San Francisco,United States,-0.35
"Sep 29, 2021",Sao Paulo,Brazil,-0.16
"Sep 29, 2021",New York,United States,0
"Sep 29, 2021",London,United Kingdom,0
"Sep 29, 2021",Paris,France,0.02
"Sep 29, 2021",Prague,Czechia,0.34
"Sep 28, 2021",San Francisco,United States,-0.38
"Sep 28, 2021",Sao Paulo,Brazil,-0.07
"Sep 28, 2021",New York,United States,-0.05
"Sep 28, 2021",London,United Kingdom,-0.02
"Sep 28, 2021",Paris,France,0.02
"Sep 28, 2021",Prague,Czechia,0.18
"Sep 27, 2021",San Francisco,United States,-0.33
"Sep 27, 2021",London,United Kingdom,-0.02
"Sep 27, 2021",Paris,France,0.01
"Sep 27, 2021",Sao Paulo,Brazil,0.06
"Sep 27, 2021",Prague,Czechia,0.09
"Sep 27, 2021",New York,United States,0.14
"Sep 26, 2021",San Francisco,United States,-0.22
"Sep 26, 2021",Paris,France,-0.02
"Sep 26, 2021",London,United Kingdom,0.03
"Sep 26, 2021",Sao Paulo,Brazil,0.05
"Sep 26, 2021",New York,United States,0.09
"Sep 26, 2021",Prague,Czechia,0.18
"Sep 25, 2021",San Francisco,United States,-0.34
"Sep 25, 2021",Paris,France,-0.07
"Sep 25, 2021",Sao Paulo,Brazil,-0.05
"Sep 25, 2021",New York,United States,0.05
"Sep 25, 2021",Prague,Czechia,0.09
"Sep 25, 2021",London,United Kingdom,0.11
"Sep 24, 2021",San Francisco,United States,-0.36
"Sep 24, 2021",Sao Paulo,Brazil,-0.12
"Sep 24, 2021",Paris,France,-0.02
"Sep 24, 2021",New York,United States,0.03
"Sep 24, 2021",London,United Kingdom,0.09
"Sep 24, 2021",Prague,Czechia,0.28
"Sep 23, 2021",San Francisco,United States,-0.33
"Sep 23, 2021",Sao Paulo,Brazil,-0.15
"Sep 23, 2021",Paris,France,0.02
"Sep 23, 2021",New York,United States,0.05
"Sep 23, 2021",London,United Kingdom,0.09
"Sep 23, 2021",Prague,Czechia,0.3
"Sep 22, 2021",San Francisco,United States,-0.46
"Sep 22, 2021",Sao Paulo,Brazil,-0.15
"Sep 22, 2021",Paris,France,0.01
"Sep 22, 2021",New York,United States,0.01
"Sep 22, 2021",London,United Kingdom,0.07
"Sep 22, 2021",Prague,Czechia,0.31
"Sep 21, 2021",San Francisco,United States,-0.43
"Sep 21, 2021",Sao Paulo,Brazil,-0.06
"Sep 21, 2021",New York,United States,-0.02
"Sep 21, 2021",Paris,France,-0.01
"Sep 21, 2021",London,United Kingdom,0.06
"Sep 21, 2021",Prague,Czechia,0.34
"Sep 20, 2021",San Francisco,United States,-0.37
"Sep 20, 2021",Paris,France,0
"Sep 20, 2021",London,United Kingdom,0.05
"Sep 20, 2021",Sao Paulo,Brazil,0.07
"Sep 20, 2021",New York,United States,0.16
"Sep 20, 2021",Prague,Czechia,0.34
"Sep 19, 2021",San Francisco,United States,-0.18
"Sep 19, 2021",Paris,France,-0.13
"Sep 19, 2021",Sao Paulo,Brazil,0.03
"Sep 19, 2021",London,United Kingdom,0.07
"Sep 19, 2021",New York,United States,0.1
"Sep 19, 2021",Prague,Czechia,0.49
"Sep 18, 2021",San Francisco,United States,-0.34
"Sep 18, 2021",Paris,France,-0.09
"Sep 18, 2021",Sao Paulo,Brazil,-0.04
"Sep 18, 2021",New York,United States,0.03
"Sep 18, 2021",London,United Kingdom,0.11
"Sep 18, 2021",Prague,Czechia,0.14
"Sep 17, 2021",San Francisco,United States,-0.36
"Sep 17, 2021",Sao Paulo,Brazil,-0.13
"Sep 17, 2021",Paris,France,-0.03
"Sep 17, 2021",New York,United States,0.03
"Sep 17, 2021",London,United Kingdom,0.08
"Sep 17, 2021",Prague,Czechia,0.28
"Sep 16, 2021",San Francisco,United States,-0.33
"Sep 16, 2021",Sao Paulo,Brazil,-0.15
"Sep 16, 2021",New York,United States,-0.08
"Sep 16, 2021",Paris,France,-0.02
"Sep 16, 2021",London,United Kingdom,0.05
"Sep 16, 2021",Prague,Czechia,0.29
"Sep 15, 2021",San Francisco,United States,-0.35
"Sep 15, 2021",Sao Paulo,Brazil,-0.15
"Sep 15, 2021",Paris,France,0.02
"Sep 15, 2021",London,United Kingdom,0.06
"Sep 15, 2021",New York,United States,0.08
"Sep 15, 2021",Prague,Czechia,0.32
"Sep 14, 2021",San Francisco,United States,-0.44
"Sep 14, 2021",Sao Paulo,Brazil,-0.06
"Sep 14, 2021",Paris,France,0.03
"Sep 14, 2021",New York,United States,0.03
"Sep 14, 2021",London,United Kingdom,0.08
"Sep 14, 2021",Prague,Czechia,0.3
"Sep 13, 2021",San Francisco,United States,-0.3
"Sep 13, 2021",London,United Kingdom,0.04
"Sep 13, 2021",Paris,France,0.04
"Sep 13, 2021",Sao Paulo,Brazil,0.05
"Sep 13, 2021",New York,United States,0.17
"Sep 13, 2021",Prague,Czechia,0.28
"Sep 12, 2021",San Francisco,United States,-0.39
"Sep 12, 2021",Paris,France,-0.03
"Sep 12, 2021",Sao Paulo,Brazil,0.01
"Sep 12, 2021",London,United Kingdom,0.04
"Sep 12, 2021",New York,United States,0.09
"Sep 12, 2021",Prague,Czechia,0.57
"Sep 11, 2021",San Francisco,United States,-0.4
"Sep 11, 2021",Paris,France,-0.08
"Sep 11, 2021",Sao Paulo,Brazil,-0.06
"Sep 11, 2021",New York,United States,0.04
"Sep 11, 2021",London,United Kingdom,0.11
"Sep 11, 2021",Prague,Czechia,0.14
"Sep 10, 2021",San Francisco,United States,-0.42
"Sep 10, 2021",Sao Paulo,Brazil,-0.14
"Sep 10, 2021",Paris,France,-0.03
"Sep 10, 2021",New York,United States,0.04
"Sep 10, 2021",London,United Kingdom,0.06
"Sep 10, 2021",Prague,Czechia,0.24
"Sep 9, 2021",San Francisco,United States,-0.42
"Sep 9, 2021",Sao Paulo,Brazil,-0.15
"Sep 9, 2021",Paris,France,0.05
"Sep 9, 2021",London,United Kingdom,0.06
"Sep 9, 2021",New York,United States,0.07
"Sep 9, 2021",Prague,Czechia,0.26
"Sep 8, 2021",San Francisco,United States,-0.45
"Sep 8, 2021",Sao Paulo,Brazil,-0.05
"Sep 8, 2021",Paris,France,0.04
"Sep 8, 2021",New York,United States,0.04
"Sep 8, 2021",London,United Kingdom,0.08
"Sep 8, 2021",Prague,Czechia,0.3
"Sep 7, 2021",San Francisco,United States,-0.31
"Sep 7, 2021",Sao Paulo,Brazil,-0.09
"Sep 7, 2021",Paris,France,-0.02
"Sep 7, 2021",London,United Kingdom,0.04
"Sep 7, 2021",New York,United States,0.12
"Sep 7, 2021",Prague,Czechia,0.3
"Sep 6, 2021",San Francisco,United States,-0.26
"Sep 6, 2021",Sao Paulo,Brazil,-0.01
"Sep 6, 2021",Paris,France,0.02
"Sep 6, 2021",New York,United States,0.02
"Sep 6, 2021",London,United Kingdom,0.03
"Sep 6, 2021",Prague,Czechia,0.29
"Sep 5, 2021",San Francisco,United States,-0.23
"Sep 5, 2021",Sao Paulo,Brazil,-0.12
"Sep 5, 2021",Paris,France,-0.06
"Sep 5, 2021",New York,United States,0.01
"Sep 5, 2021",London,United Kingdom,0.04
"Sep 5, 2021",Prague,Czechia,0.41
"Sep 4, 2021",San Francisco,United States,-0.35
"Sep 4, 2021",Paris,France,-0.11
"Sep 4, 2021",Sao Paulo,Brazil,-0.07
"Sep 4, 2021",New York,United States,0.01
"Sep 4, 2021",London,United Kingdom,0.08
"Sep 4, 2021",Prague,Czechia,0.12
"Sep 3, 2021",San Francisco,United States,-0.37
"Sep 3, 2021",Sao Paulo,Brazil,-0.09
"Sep 3, 2021",Paris,France,-0.06
"Sep 3, 2021",London,United Kingdom,0.07
"Sep 3, 2021",New York,United States,0.07
"Sep 3, 2021",Prague,Czechia,0.24
"Sep 2, 2021",San Francisco,United States,-0.34
"Sep 2, 2021",Sao Paulo,Brazil,-0.11
"Sep 2, 2021",Paris,France,-0.07
"Sep 2, 2021",New York,United States,0
"Sep 2, 2021",London,United Kingdom,0.04
"Sep 2, 2021",Prague,Czechia,0.24
"Sep 1, 2021",San Francisco,United States,-0.39
"Sep 1, 2021",Sao Paulo,Brazil,-0.12
"Sep 1, 2021",Paris,France,0.02
"Sep 1, 2021",New York,United States,0.05
"Sep 1, 2021",London,United Kingdom,0.05
"Sep 1, 2021",Prague,Czechia,0.19
"Aug 31, 2021",San Francisco,United States,-0.41
"Aug 31, 2021",Sao Paulo,Brazil,-0.05
"Aug 31, 2021",Paris,France,0.02
"Aug 31, 2021",New York,United States,0.06
"Aug 31, 2021",London,United Kingdom,0.09
"Aug 31, 2021",Prague,Czechia,0.34
"Aug 30, 2021",San Francisco,United States,-0.34
"Aug 30, 2021",Sao Paulo,Brazil,0.03
"Aug 30, 2021",Paris,France,0.12
"Aug 30, 2021",New York,United States,0.14
"Aug 30, 2021",London,United Kingdom,0.2
"Aug 30, 2021",Prague,Czechia,0.29
"Aug 29, 2021",San Francisco,United States,-0.31
"Aug 29, 2021",Sao Paulo,Brazil,-0.06
"Aug 29, 2021",Paris,France,0.04
"Aug 29, 2021",London,United Kingdom,0.05
"Aug 29, 2021",New York,United States,0.07
"Aug 29, 2021",Prague,Czechia,0.45
"Aug 28, 2021",San Francisco,United States,-0.28
"Aug 28, 2021",Paris,France,-0.12
"Aug 28, 2021",Sao Paulo,Brazil,-0.1
"Aug 28, 2021",New York,United States,0
"Aug 28, 2021",London,United Kingdom,0.05
"Aug 28, 2021",Prague,Czechia,0.23
"Aug 27, 2021",San Francisco,United States,-0.37
"Aug 27, 2021",Sao Paulo,Brazil,-0.13
"Aug 27, 2021",Paris,France,-0.1
"Aug 27, 2021",New York,United States,0.02
"Aug 27, 2021",London,United Kingdom,0.05
"Aug 27, 2021",Prague,Czechia,0.13
"Aug 26, 2021",San Francisco,United States,-0.38
"Aug 26, 2021",Sao Paulo,Brazil,-0.15
"Aug 26, 2021",Paris,France,-0.1
"Aug 26, 2021",London,United Kingdom,0.03
"Aug 26, 2021",New York,United States,0.05
"Aug 26, 2021",Prague,Czechia,0.17
"Aug 25, 2021",San Francisco,United States,-0.26
"Aug 25, 2021",Sao Paulo,Brazil,-0.16
"Aug 25, 2021",Paris,France,-0.09
"Aug 25, 2021",London,United Kingdom,0.02
"Aug 25, 2021",New York,United States,0.1
"Aug 25, 2021",Prague,Czechia,0.16
"Aug 24, 2021",San Francisco,United States,-0.43
"Aug 24, 2021",Paris,France,-0.16
"Aug 24, 2021",Sao Paulo,Brazil,-0.05
"Aug 24, 2021",London,United Kingdom,-0.01
"Aug 24, 2021",New York,United States,0.03
"Aug 24, 2021",Prague,Czechia,0.16
"Aug 23, 2021",San Francisco,United States,-0.34
"Aug 23, 2021",Paris,France,-0.09
"Aug 23, 2021",New York,United States,-0.08
"Aug 23, 2021",London,United Kingdom,0.01
"Aug 23, 2021",Sao Paulo,Brazil,0.1
"Aug 23, 2021",Prague,Czechia,0.21
"Aug 22, 2021",San Francisco,United States,-0.27
"Aug 22, 2021",Paris,France,-0.15
"Aug 22, 2021",New York,United States,-0.1
"Aug 22, 2021",London,United Kingdom,0
"Aug 22, 2021",Sao Paulo,Brazil,0.01
"Aug 22, 2021",Prague,Czechia,0.48
"Aug 21, 2021",Paris,France,-0.25
"Aug 21, 2021",San Francisco,United States,-0.24
"Aug 21, 2021",Sao Paulo,Brazil,-0.06
"Aug 21, 2021",London,United Kingdom,0.01
"Aug 21, 2021",New York,United States,0.03
"Aug 21, 2021",Prague,Czechia,0.15
"Aug 20, 2021",San Francisco,United States,-0.35
"Aug 20, 2021",Paris,France,-0.27
"Aug 20, 2021",Sao Paulo,Brazil,-0.14
"Aug 20, 2021",London,United Kingdom,-0.01
"Aug 20, 2021",New York,United States,0.01
"Aug 20, 2021",Prague,Czechia,0.02
"Aug 19, 2021",San Francisco,United States,-0.27
"Aug 19, 2021",Paris,France,-0.24
"Aug 19, 2021",Sao Paulo,Brazil,-0.15
"Aug 19, 2021",London,United Kingdom,-0.01
"Aug 19, 2021",New York,United States,0.03
"Aug 19, 2021",Prague,Czechia,0.11
"Aug 18, 2021",San Francisco,United States,-0.35
"Aug 18, 2021",Paris,France,-0.27
"Aug 18, 2021",Sao Paulo,Brazil,-0.15
"Aug 18, 2021",London,United Kingdom,-0.03
"Aug 18, 2021",New York,United States,0.06
"Aug 18, 2021",Prague,Czechia,0.13
"Aug 17, 2021",Paris,France,-0.29
"Aug 17, 2021",San Francisco,United States,-0.25
"Aug 17, 2021",Sao Paulo,Brazil,-0.07
"Aug 17, 2021",London,United Kingdom,-0.03
"Aug 17, 2021",New York,United States,0.03
"Aug 17, 2021",Prague,Czechia,0.17
"Aug 16, 2021",San Francisco,United States,-0.32
"Aug 16, 2021",Paris,France,-0.18
"Aug 16, 2021",London,United Kingdom,-0.04
"Aug 16, 2021",Sao Paulo,Brazil,0.03
"Aug 16, 2021",New York,United States,0.17
"Aug 16, 2021",Prague,Czechia,0.17
"Aug 15, 2021",Paris,France,-0.31
"Aug 15, 2021",San Francisco,United States,-0.2
"Aug 15, 2021",Sao Paulo,Brazil,0
"Aug 15, 2021",London,United Kingdom,0.01
"Aug 15, 2021",New York,United States,0.07
"Aug 15, 2021",Prague,Czechia,0.44
"Aug 14, 2021",Paris,France,-0.32
"Aug 14, 2021",San Francisco,United States,-0.31
"Aug 14, 2021",Sao Paulo,Brazil,-0.08
"Aug 14, 2021",London,United Kingdom,0
"Aug 14, 2021",New York,United States,0
"Aug 14, 2021",Prague,Czechia,0.19
"Aug 13, 2021",San Francisco,United States,-0.39
"Aug 13, 2021",Paris,France,-0.32
"Aug 13, 2021",Sao Paulo,Brazil,-0.13
"Aug 13, 2021",New York,United States,0
"Aug 13, 2021",London,United Kingdom,0
"Aug 13, 2021",Prague,Czechia,0.09
"Aug 12, 2021",San Francisco,United States,-0.35
"Aug 12, 2021",Paris,France,-0.3
"Aug 12, 2021",Sao Paulo,Brazil,-0.15
"Aug 12, 2021",London,United Kingdom,0
"Aug 12, 2021",Prague,Czechia,0.06
"Aug 12, 2021",New York,United States,0.06
"Aug 11, 2021",San Francisco,United States,-0.38
"Aug 11, 2021",Paris,France,-0.31
